Authors,Gas holdup,Column diameter(m),Liquid height (m),Sparger hole diameter (m),Sparger Encode,%FA,Density of Gas (kg/m3),Viscosity of Gas (Pa.s),Molecular Weight of gas (kg/kmol),Density of Liquid (kg/m3),Viscosity of Liquid (Pa.s),Surface Tension of Liquid (N/m),i+ (k.ion/m3),Temperature (K),Pressure (kPa),Superficial gas velocity (m/s)
Reilly et al 1994,0.0917,0.15,2.7,0.0005,4,0.071111111,0.2,1.97E-05,4,740,0.00086,0.0235,0,298,120,0.0289
Reilly et al 1994,0.1003,0.15,2.7,0.0005,4,0.071111111,0.2,1.97E-05,4,740,0.00086,0.0235,0,298,120,0.038
Reilly et al 1994,0.11,0.15,2.7,0.0005,4,0.071111111,0.2,1.97E-05,4,740,0.00086,0.0235,0,298,120,0.0482
Reilly et al 1994,0.121,0.15,2.7,0.0005,4,0.071111111,0.2,1.97E-05,4,740,0.00086,0.0235,0,298,120,0.0595
Reilly et al 1994,0.139,0.15,2.7,0.0005,4,0.071111111,0.2,1.97E-05,4,740,0.00086,0.0235,0,298,120,0.0812
Reilly et al 1994,0.1486,0.15,2.7,0.0005,4,0.071111111,0.2,1.97E-05,4,740,0.00086,0.0235,0,298,120,0.0966
Reilly et al 1994,0.014,0.15,2.7,0.0005,4,0.071111111,1.84,1.75E-05,44,740,0.00086,0.0235,0,298,100,0.0033
Reilly et al 1994,0.0224,0.15,2.7,0.0005,4,0.071111111,1.84,1.75E-05,44,740,0.00086,0.0235,0,298,100,0.0055
Reilly et al 1994,0.0295,0.15,2.7,0.0005,4,0.071111111,1.84,1.75E-05,44,740,0.00086,0.0235,0,298,100,0.0072
Reilly et al 1994,0.0321,0.15,2.7,0.0005,4,0.071111111,1.84,1.75E-05,44,740,0.00086,0.0235,0,298,100,0.0076
Reilly et al 1994,0.2511,0.15,2.7,0.0005,4,0.071111111,1.84,1.75E-05,44,740,0.00086,0.0235,0,298,100,0.0899
Reilly et al 1994,0.1004,0.15,2.7,0.0005,4,0.071111111,1.84,1.75E-05,44,740,0.00086,0.0235,0,298,100,0.0201
Reilly et al 1994,0.0414,0.15,2.7,0.0005,4,0.071111111,9.05,1.81E-05,28,740,0.00086,0.0235,0,298,790,0.0086
Reilly et al 1994,0.0886,0.15,2.7,0.0005,4,0.071111111,9.05,1.81E-05,28,740,0.00086,0.0235,0,298,790,0.017
Reilly et al 1994,0.1246,0.15,2.7,0.0005,4,0.071111111,9.05,1.81E-05,28,740,0.00086,0.0235,0,298,790,0.0222
Reilly et al 1994,0.1497,0.15,2.7,0.0005,4,0.071111111,9.05,1.81E-05,28,740,0.00086,0.0235,0,298,790,0.0255
Reilly et al 1994,0.2011,0.15,2.7,0.0005,4,0.071111111,9.05,1.81E-05,28,740,0.00086,0.0235,0,298,790,0.0317
Reilly et al 1994,0.253,0.15,2.7,0.0005,4,0.071111111,9.05,1.81E-05,28,740,0.00086,0.0235,0,298,790,0.039
Reilly et al 1994,0.3203,0.15,2.7,0.0005,4,0.071111111,9.05,1.81E-05,28,740,0.00086,0.0235,0,298,790,0.0457
Reilly et al 1994,0.0313,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0068
Reilly et al 1994,0.1,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0185
Reilly et al 1994,0.13,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0232
Reilly et al 1994,0.158,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0302
Reilly et al 1994,0.162,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0423
Reilly et al 1994,0.168,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0489
Reilly et al 1994,0.173,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0565
Reilly et al 1994,0.1844,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0667
Reilly et al 1994,0.1888,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0705
Reilly et al 1994,0.1941,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0746
Reilly et al 1994,0.2029,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0817
Reilly et al 1994,0.2038,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0855
Reilly et al 1994,0.219,0.15,2.7,0.0005,4,0.071111111,1.2,1.81E-05,28.84,740,0.00086,0.0235,0,298,101.325,0.0984
Reilly et al 1994,0.1053,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.0206
Reilly et al 1994,0.0509,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.011
Reilly et al 1994,0.088,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.018
Reilly et al 1994,0.1869,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.0316
Reilly et al 1994,0.22,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.0424
Reilly et al 1994,0.2484,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.0539
Reilly et al 1994,0.2783,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.0659
Reilly et al 1994,0.308,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.0775
Reilly et al 1994,0.328,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.0887
Reilly et al 1994,0.3485,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.1007
Reilly et al 1994,0.3785,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.1314
Reilly et al 1994,0.398,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.155
Reilly et al 1994,0.415,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.18
Reilly et al 1994,0.432,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,740,0.00086,0.0235,0,298,275,0.206
Reilly et al 1994,0.109,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0203
Reilly et al 1994,0.1729,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0289
Reilly et al 1994,0.221,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0354
Reilly et al 1994,0.2756,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0413
Reilly et al 1994,0.3282,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0469
Reilly et al 1994,0.3458,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0523
Reilly et al 1994,0.396,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0593
Reilly et al 1994,0.4432,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0678
Reilly et al 1994,0.457,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0692
Reilly et al 1994,0.4687,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.0829
Reilly et al 1994,0.4775,0.15,2.7,0.0005,4,0.071111111,6.1,1.81E-05,28.84,740,0.00086,0.0235,0,298,525,0.1098
Reilly et al 1994,0.2054,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,740,0.00086,0.0235,0,298,660,0.0324
Reilly et al 1994,0.2431,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,740,0.00086,0.0235,0,298,660,0.0375
Reilly et al 1994,0.3414,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,740,0.00086,0.0235,0,298,660,0.0466
Reilly et al 1994,0.4037,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,740,0.00086,0.0235,0,298,660,0.062
Reilly et al 1994,0.4818,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,740,0.00086,0.0235,0,298,660,0.0672
Reilly et al 1994,0.5046,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,740,0.00086,0.0235,0,298,660,0.0737
Reilly et al 1994,0.4958,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,740,0.00086,0.0235,0,298,660,0.0805
Reilly et al 1994,0.1226,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.0263
Reilly et al 1994,0.1456,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.0323
Reilly et al 1994,0.165,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.0372
Reilly et al 1994,0.18,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.0436
Reilly et al 1994,0.1993,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.0549
Reilly et al 1994,0.215,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.0666
Reilly et al 1994,0.227,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.0782
Reilly et al 1994,0.2476,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.0951
Reilly et al 1994,0.2572,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.1124
Reilly et al 1994,0.2879,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.1558
Reilly et al 1994,0.3142,0.15,2.7,0.0005,4,0.071111111,3.24,1.81E-05,28.84,1462,0.000575,0.03,0,298,380,0.1819
Reilly et al 1994,0.075,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.013
Reilly et al 1994,0.1059,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0185
Reilly et al 1994,0.14,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0225
Reilly et al 1994,0.186,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0274
Reilly et al 1994,0.2233,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0326
Reilly et al 1994,0.29,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0392
Reilly et al 1994,0.3381,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0467
Reilly et al 1994,0.3504,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0606
Reilly et al 1994,0.3547,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0722
Reilly et al 1994,0.3582,0.15,2.7,0.0005,4,0.071111111,7.73,1.81E-05,28.84,1462,0.000575,0.03,0,298,650,0.0817
Reilly et al 1994,0.0874,0.15,2.7,0.0005,4,0.071111111,13,1.81E-05,28,1462,0.000575,0.03,0,298,1140,0.0147
Reilly et al 1994,0.1324,0.15,2.7,0.0005,4,0.071111111,13,1.81E-05,28,1462,0.000575,0.03,0,298,1140,0.0202
Reilly et al 1994,0.2852,0.15,2.7,0.0005,4,0.071111111,13,1.81E-05,28,1462,0.000575,0.03,0,298,1140,0.0334
Reilly et al 1994,0.4208,0.15,2.7,0.0005,4,0.071111111,13,1.81E-05,28,1462,0.000575,0.03,0,298,1140,0.0429
Reilly et al 1994,0.4494,0.15,2.7,0.0005,4,0.071111111,13,1.81E-05,28,1462,0.000575,0.03,0,298,1140,0.0571
Reilly et al 1994,0.4837,0.15,2.7,0.0005,4,0.071111111,13,1.81E-05,28,1462,0.000575,0.03,0,298,1140,0.0712
Willkinson et al 1994,0.1506,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.057
Willkinson et al 1994,0.1656,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.0628
Willkinson et al 1994,0.1958,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.082
Willkinson et al 1994,0.2605,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.0978
Willkinson et al 1994,0.2606,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.1139
Willkinson et al 1994,0.2997,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.1148
Willkinson et al 1994,0.3073,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.1327
Willkinson et al 1994,0.3375,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.1595
Willkinson et al 1994,0.3721,0.158,1.5,0.01,6,7.610959782,1.18,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,100,0.1663
Willkinson et al 1994,0.1851,0.158,1.5,0.01,6,7.610959782,2.37,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,200,0.0584
Willkinson et al 1994,0.2378,0.158,1.5,0.01,6,7.610959782,2.37,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,200,0.0754
Willkinson et al 1994,0.2769,0.158,1.5,0.01,6,7.610959782,2.37,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,200,0.0844
Willkinson et al 1994,0.2905,0.158,1.5,0.01,6,7.610959782,2.37,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,200,0.0938
Willkinson et al 1994,0.3371,0.158,1.5,0.01,6,7.610959782,2.37,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,200,0.1082
Willkinson et al 1994,0.4334,0.158,1.5,0.01,6,7.610959782,2.37,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,200,0.124
Willkinson et al 1994,0.462,0.158,1.5,0.01,6,7.610959782,2.37,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,200,0.137
Willkinson et al 1994,0.216,0.158,1.5,0.01,6,7.610959782,3.56,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,300,0.0617
Willkinson et al 1994,0.2636,0.158,1.5,0.01,6,7.610959782,3.56,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,300,0.0742
Willkinson et al 1994,0.3158,0.158,1.5,0.01,6,7.610959782,3.56,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,300,0.0876
Willkinson et al 1994,0.3873,0.158,1.5,0.01,6,7.610959782,3.56,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,300,0.0997
Willkinson et al 1994,0.4365,0.158,1.5,0.01,6,7.610959782,3.56,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,300,0.1126
Willkinson et al 1994,0.117,0.158,1.5,0.01,6,7.610959782,4.7,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,400,0.0318
Willkinson et al 1994,0.16,0.158,1.5,0.01,6,7.610959782,4.7,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,400,0.0409
Willkinson et al 1994,0.227,0.158,1.5,0.01,6,7.610959782,4.7,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,400,0.0579
Willkinson et al 1994,0.274,0.158,1.5,0.01,6,7.610959782,4.7,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,400,0.0629
Willkinson et al 1994,0.3173,0.158,1.5,0.01,6,7.610959782,4.7,1.75E-05,28.84,1086,0.0015,0.075,2.4,293,400,0.0719
Salvacion et al 1995,0.0642,0.14,1.5,0.0025,3,0.223214286,1.180052226,1.81E-05,28.84,997,0.000894,0.072,0,298,101.325,0.0357
Salvacion et al 1995,0.0949,0.14,1.5,0.0025,3,0.223214286,1.180052226,1.81E-05,28.84,997,0.000894,0.072,0,298,101.325,0.0536
Salvacion et al 1995,0.1785,0.14,1.5,0.0025,3,0.223214286,1.180052226,1.81E-05,28.84,997,0.000894,0.072,0,298,101.325,0.1292
Salvacion et al 1995,0.2062,0.14,1.5,0.0025,3,0.223214286,1.180052226,1.81E-05,28.84,997,0.000894,0.072,0,298,101.325,0.1861
Krishna and Ellenberger 1996,0.0274,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.0084
Krishna and Ellenberger 1996,0.0622,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.0147
Krishna and Ellenberger 1996,0.1152,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.0397
Krishna and Ellenberger 1996,0.1499,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.0564
Krishna and Ellenberger 1996,0.1626,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.0875
Krishna and Ellenberger 1996,0.1827,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.1104
Krishna and Ellenberger 1996,0.1992,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.1311
Krishna and Ellenberger 1996,0.2083,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.156
Krishna and Ellenberger 1996,0.2247,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.1706
Krishna and Ellenberger 1996,0.2393,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.1913
Krishna and Ellenberger 1996,0.2557,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.21
Krishna and Ellenberger 1996,0.2666,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.239
Krishna and Ellenberger 1996,0.2757,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.2618
Krishna and Ellenberger 1996,0.2867,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.2826
Krishna and Ellenberger 1996,0.3031,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.3033
Krishna and Ellenberger 1996,0.3213,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.3324
Krishna and Ellenberger 1996,0.3542,0.63,2.2,0.0025,7,0.100781053,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,101.325,0.3573
Krishna and Ellenberger 1996,0.0567,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.0085
Krishna and Ellenberger 1996,0.0988,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.0148
Krishna and Ellenberger 1996,0.1317,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.0294
Krishna and Ellenberger 1996,0.1646,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.0399
Krishna and Ellenberger 1996,0.1993,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.0566
Krishna and Ellenberger 1996,0.2194,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.0691
Krishna and Ellenberger 1996,0.2377,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.0733
Krishna and Ellenberger 1996,0.2578,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.092
Krishna and Ellenberger 1996,0.2779,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.1066
Krishna and Ellenberger 1996,0.2852,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.119
Krishna and Ellenberger 1996,0.2979,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.1418
Krishna and Ellenberger 1996,0.3107,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.1584
Krishna and Ellenberger 1996,0.3216,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.1833
Krishna and Ellenberger 1996,0.3326,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.202
Krishna and Ellenberger 1996,0.3453,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.2227
Krishna and Ellenberger 1996,0.3563,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.2497
Krishna and Ellenberger 1996,0.3654,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.2683
Krishna and Ellenberger 1996,0.3745,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.2808
Krishna and Ellenberger 1996,0.3873,0.63,1.9,0.0025,7,0.100781053,1.18,1.81E-05,28.84,790,0.0029,0.028,0,298,101.325,0.3036
Stegeman et al 1996,0.0494,0.156,0.6083584,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.0099
Stegeman et al 1996,0.0808,0.156,0.5882688,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.0149
Stegeman et al 1996,0.1144,0.156,0.5667584,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.02
Stegeman et al 1996,0.1314,0.156,0.5559104,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.025
Stegeman et al 1996,0.1506,0.156,0.5436416,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.03
Stegeman et al 1996,0.1642,0.156,0.5349376,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.0349
Stegeman et al 1996,0.1822,0.156,0.5233792,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.04
Stegeman et al 1996,0.2047,0.156,0.508992,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.0447
Stegeman et al 1996,0.2194,0.156,0.4995648,0.0004,3,0.0290816,1.18,1.81E-05,28.84,998,0.001,0.072,0,298,100,0.0498
Stegeman et al 1996,0.0628,0.156,0.5998208,0.0004,3,0.0290816,18.62,1.81E-05,28.84,998,0.001,0.072,0,298,1600,0.01
Stegeman et al 1996,0.0864,0.156,0.5847136,0.0004,3,0.0290816,18.62,1.81E-05,28.84,998,0.001,0.072,0,298,1600,0.0149
Stegeman et al 1996,0.1156,0.156,0.566048,0.0004,3,0.0290816,18.62,1.81E-05,28.84,998,0.001,0.072,0,298,1600,0.02
Stegeman et al 1996,0.1458,0.156,0.5466752,0.0004,3,0.0290816,18.62,1.81E-05,28.84,998,0.001,0.072,0,298,1600,0.0249
Stegeman et al 1996,0.2075,0.156,0.5072128,0.0004,3,0.0290816,18.62,1.81E-05,28.84,998,0.001,0.072,0,298,1600,0.0346
Stegeman et al 1996,0.2411,0.156,0.4856896,0.0004,3,0.0290816,18.62,1.81E-05,28.84,998,0.001,0.072,0,298,1600,0.0399
Stegeman et al 1996,0.2614,0.156,0.4727168,0.0004,3,0.0290816,18.62,1.81E-05,28.84,998,0.001,0.072,0,298,1600,0.0448
Stegeman et al 1996,0.2761,0.156,0.4633024,0.0004,3,0.0290816,18.62,1.81E-05,28.84,998,0.001,0.072,0,298,1600,0.0497
Stegeman et al 1996,0.0643,0.156,0.598820227,0.0004,3,0.0290816,18.62,1.81E-05,28.84,1045,0.0026,0.066,0,298,1600,0.0098
Stegeman et al 1996,0.1038,0.156,0.573537694,0.0004,3,0.0290816,18.62,1.81E-05,28.84,1045,0.0026,0.066,0,298,1600,0.0197
Stegeman et al 1996,0.1326,0.156,0.55514206,0.0004,3,0.0290816,18.62,1.81E-05,28.84,1045,0.0026,0.066,0,298,1600,0.0248
Stegeman et al 1996,0.1423,0.156,0.548925295,0.0004,3,0.0290816,18.62,1.81E-05,28.84,1045,0.0026,0.066,0,298,1600,0.0299
Stegeman et al 1996,0.1734,0.156,0.529051185,0.0004,3,0.0290816,18.62,1.81E-05,28.84,1045,0.0026,0.066,0,298,1600,0.0399
Stegeman et al 1996,0.1873,0.156,0.520129569,0.0004,3,0.0290816,18.62,1.81E-05,28.84,1045,0.0026,0.066,0,298,1600,0.0449
Stegeman et al 1996,0.0659,0.156,0.59784,0.0004,3,0.0290816,41.9,1.81E-05,28.84,1045,0.0026,0.066,0,298,3600,0.0099
Stegeman et al 1996,0.1115,0.156,0.5686528,0.0004,3,0.0290816,41.9,1.81E-05,28.84,1045,0.0026,0.066,0,298,3600,0.0199
Stegeman et al 1996,0.1433,0.156,0.5482816,0.0004,3,0.0290816,41.9,1.81E-05,28.84,1045,0.0026,0.066,0,298,3600,0.0253
